"Date","Titles","Price","Link"
"2022-09-15","Apple iPhone 13 Pro (128 Gb) - Oro","1598 dólares","https://articulo.mercadolibre.com.uy/MLU-618314085-apple-iphone-13-pro-128-gb-oro-_JM?searchVariation=175244172581#searchVariation=175244172581&position=35&search_layout=stack&type=item&tracking_id=3ae2ed4d-dd64-4622-872c-d50699f9192f"
"2022-09-15","Apple iPhone 13 (128 Gb) - Verde","1280 dólares","https://articulo.mercadolibre.com.uy/MLU-612009609-apple-iphone-13-128-gb-verde-_JM?searchVariation=174476631468#searchVariation=174476631468&position=36&search_layout=stack&type=item&tracking_id=3ae2ed4d-dd64-4622-872c-d50699f9192f"
"2022-09-15","Apple iPhone 13 Pro (128 Gb) - Grafito","1598 dólares","https://articulo.mercadolibre.com.uy/MLU-618327101-apple-iphone-13-pro-128-gb-grafito-_JM?searchVariation=175244187535#searchVariation=175244187535&position=37&search_layout=stack&type=item&tracking_id=3ae2ed4d-dd64-4622-872c-d50699f9192f"
"2022-09-15","Apple iPhone 13 (128 Gb) - Blanco Estelar","1260 dólares","https://articulo.mercadolibre.com.uy/MLU-606225906-apple-iphone-13-128-gb-blanco-estelar-_JM?searchVariation=174060888657#searchVariation=174060888657&position=38&search_layout=stack&type=item&tracking_id=3ae2ed4d-dd64-4622-872c-d50699f9192f"
"2022-09-15","Apple iPhone 13 Pro 256 Gb Garantía Oficial Amv","1839 dólares","https://articulo.mercadolibre.com.uy/MLU-606109306-apple-iphone-13-pro-256-gb-garantia-oficial-amv-_JM?searchVariation=174044943685#searchVariation=174044943685&position=39&search_layout=stack&type=item&tracking_id=3ae2ed4d-dd64-4622-872c-d50699f9192f"
"2022-09-15","Celular Apple iPhone 13 128gb Blanco - 6.7  Dual Camara Uhd","1499 dólares","https://articulo.mercadolibre.com.uy/MLU-615330545-celular-apple-iphone-13-128gb-blanco-67-dual-camara-uhd-_JM?searchVariation=174803976053#searchVariation=174803976053&position=40&search_layout=stack&type=item&tracking_id=3ae2ed4d-dd64-4622-872c-d50699f9192f"
"2022-09-15","Celular Apple iPhone 13 128gb Blue Tranza","1550 dólares","https://articulo.mercadolibre.com.uy/MLU-616472344-celular-apple-iphone-13-128gb-blue-tranza-_JM#position=41&search_layout=stack&type=item&tracking_id=3ae2ed4d-dd64-4622-872c-d50699f9192f"
"2022-09-15","Celular Apple iPhone 13 128gb Blanco - 6.7  Dual Camara Uhd","64999 pesos","https://articulo.mercadolibre.com.uy/MLU-615350054-celular-apple-iphone-13-128gb-blanco-67-dual-camara-uhd-_JM?searchVariation=174803981713#searchVariation=174803981713&position=42&search_layout=stack&type=item&tracking_id=3ae2ed4d-dd64-4622-872c-d50699f9192f"
"2022-09-15","Apple iPhone 13 (128 Gb) - Green","1278 dólares","https://articulo.mercadolibre.com.uy/MLU-618294695-apple-iphone-13-128-gb-green-_JM?searchVariation=175244494385#searchVariation=175244494385&position=43&search_layout=stack&type=item&tracking_id=3ae2ed4d-dd64-4622-872c-d50699f9192f"
"2022-09-15","Celular Apple iPhone 13 128gb Blanco - 6.7  Dual Camara Uhd","64999 pesos","https://articulo.mercadolibre.com.uy/MLU-615343541-celular-apple-iphone-13-128gb-blanco-67-dual-camara-uhd-_JM?searchVariation=174803945122#searchVariation=174803945122&position=44&search_layout=stack&type=item&tracking_id=3ae2ed4d-dd64-4622-872c-d50699f9192f"
"2022-09-15","Celular Apple iPhone 13 128gb Blanco - 6.7  Dual Camara Uhd","1499 dólares","https://articulo.mercadolibre.com.uy/MLU-615343540-celular-apple-iphone-13-128gb-blanco-67-dual-camara-uhd-_JM?searchVariation=174803945098#searchVariation=174803945098&position=45&search_layout=stack&type=item&tracking_id=3ae2ed4d-dd64-4622-872c-d50699f9192f"
"2022-09-15","Apple iPhone 13 (128 Gb) - Blanco Estelar","1278 dólares","https://articulo.mercadolibre.com.uy/MLU-618307692-apple-iphone-13-128-gb-blanco-estelar-_JM?searchVariation=175244467874#searchVariation=175244467874&position=46&search_layout=stack&type=item&tracking_id=3ae2ed4d-dd64-4622-872c-d50699f9192f"
"2022-09-15","Apple iPhone 13 (128 Gb) - Azul","1278 dólares","https://articulo.mercadolibre.com.uy/MLU-618307703-apple-iphone-13-128-gb-azul-_JM?searchVariation=175244469993#searchVariation=175244469993&position=47&search_layout=stack&type=item&tracking_id=3ae2ed4d-dd64-4622-872c-d50699f9192f"
"2022-09-15","iPhone 13 128gb Verde Alpino. Nuevos - Sellados Y Libres! ","1280 dólares","https://articulo.mercadolibre.com.uy/MLU-612072648-iphone-13-128gb-verde-alpino-nuevos-sellados-y-libres-_JM?searchVariation=174491794045#searchVariation=174491794045&position=48&search_layout=stack&type=item&tracking_id=3ae2ed4d-dd64-4622-872c-d50699f9192f"
"2022-09-15","iPhone 13 Pro Max 6.7  128gb 6gb 5g Cámara Cuádruple Nnet","2003 dólares","https://articulo.mercadolibre.com.uy/MLU-616117518-iphone-13-pro-max-67-128gb-6gb-5g-camara-cuadruple-nnet-_JM#position=49&search_layout=stack&type=item&tracking_id=3ae2ed4d-dd64-4622-872c-d50699f9192f"
"2022-09-15","iPhone 13 Pro Nuevo 128 Gb","67500 pesos","https://articulo.mercadolibre.com.uy/MLU-612975633-iphone-13-pro-nuevo-128-gb-_JM?searchVariation=174579800679#searchVariation=174579800679&position=50&search_layout=stack&type=item&tracking_id=3ae2ed4d-dd64-4622-872c-d50699f9192f"
"2022-09-15","iPhone 13 128gb Nuevo Entrega Inmediata Factura Celhouse","1390 dólares","https://articulo.mercadolibre.com.uy/MLU-602897344-iphone-13-128gb-nuevo-entrega-inmediata-factura-celhouse-_JM?searchVariation=173810263399#searchVariation=173810263399&position=51&search_layout=stack&type=item&tracking_id=3ae2ed4d-dd64-4622-872c-d50699f9192f"
"2022-09-15","Apple iPhone 12 Pro (128 GB) - Grafito","1399 dólares","https://www.mercadolibre.com.uy/apple-iphone-12-pro-128-gb-grafito/p/MLU16163679?pdp_filters=category:MLU1055#searchVariation=MLU16163679&position=12&search_layout=stack&type=product&tracking_id=3ae2ed4d-dd64-4622-872c-d50699f9192f"
